Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,64.150002,64.410004,62.230000,62.500000,61.342911,3161738
2022-04-06,62.220001,62.220001,59.009998,59.509998,58.408268,3853808
2022-04-07,59.700001,60.619999,59.090000,59.500000,58.398453,3359792
2022-04-08,59.599998,59.599998,57.669998,59.220001,58.123634,2063813
2022-04-11,59.009998,59.009998,57.529999,58.410000,57.328632,1980836
2022-04-12,58.860001,59.150002,56.009998,56.650002,55.601215,7724613
2022-04-13,56.910000,58.169998,56.240002,57.779999,56.710297,1272630
2022-04-18,57.779999,58.259998,57.150002,57.779999,56.710297,866470
2022-04-19,57.849998,59.889999,57.639999,59.610001,58.506416,2674537
2022-04-20,59.779999,59.779999,57.410000,57.610001,56.543446,1894009
2022-04-21,58.130001,58.130001,55.410000,55.840000,54.806210,2428975
2022-04-22,56.110001,56.860001,55.810001,55.990002,54.953438,2026532
2022-04-25,56.040001,57.380001,55.270000,56.139999,55.100655,3586415
2022-04-26,56.160000,57.240002,54.509998,56.189999,55.149731,2814352
2022-04-27,56.689999,62.529999,55.680000,61.490002,60.351612,6809160
2022-04-28,62.150002,63.290001,60.180000,62.610001,61.450878,7902255
2022-04-29,62.189999,63.509998,61.720001,62.900002,61.735508,3572648
2022-05-02,62.980000,67.400002,62.029999,67.089996,65.847931,3446660
2022-05-03,66.989998,66.989998,60.660000,62.049999,60.901245,5374881
2022-05-04,62.599998,62.599998,58.360001,59.290001,58.192341,4805044
2022-05-05,58.959999,61.279999,57.509998,60.709999,59.586048,3955131
2022-05-06,59.709999,63.230000,59.709999,61.259998,60.125866,2167765
2022-05-09,61.040001,63.900002,60.200001,60.330002,59.213085,2593838
2022-05-10,60.810001,61.180000,59.560001,60.270000,59.154194,5248607
2022-05-11,60.290001,60.770000,57.820000,58.130001,57.053818,3841509
2022-05-12,57.889999,59.650002,56.990002,59.369999,58.270859,2350913
2022-05-13,60.000000,61.009998,55.799999,57.910000,56.837891,11002813
2022-05-16,57.860001,59.349998,56.610001,58.430000,57.348263,5606533
2022-05-17,58.509998,59.470001,57.270000,58.970001,58.529373,5247448
2022-05-18,58.599998,58.700001,56.919998,57.169998,56.742817,3808019
2022-05-19,57.070000,57.560001,56.299999,56.459999,56.038124,3147180
2022-05-20,56.900002,58.439999,56.610001,57.770000,57.338337,3656684
2022-05-23,58.040001,59.990002,57.070000,58.520000,58.082733,3291772
2022-05-24,58.009998,59.299999,57.020000,58.099998,57.665871,5650493
2022-05-25,58.099998,60.099998,57.610001,59.540001,59.095112,3161624
2022-05-26,59.110001,61.900002,58.599998,61.160000,60.703007,3961281
2022-05-27,61.240002,62.439999,60.570000,61.439999,60.980911,4375333
2022-05-30,61.000000,62.270000,60.000000,61.090000,60.633530,2013453
2022-05-31,61.000000,65.879997,60.279999,64.720001,64.236404,31651013
2022-06-01,64.529999,65.790001,62.049999,64.660004,64.176857,3652695
2022-06-02,64.599998,65.160004,61.779999,62.480000,62.013142,4477354
2022-06-03,62.230000,63.000000,61.279999,62.180000,61.715385,2505023
2022-06-06,62.099998,64.760002,61.220001,63.439999,62.965969,3038806
2022-06-07,63.189999,64.760002,62.459999,63.570000,63.094997,2928284
2022-06-08,63.660000,64.190002,61.650002,63.220001,62.747616,3521080
2022-06-09,63.220001,65.879997,62.330002,64.519997,64.037895,2645962
2022-06-10,64.440002,64.500000,61.209999,61.400002,60.941216,2723665
2022-06-13,61.009998,63.990002,60.000000,62.290001,61.824562,5757227
2022-06-14,62.430000,63.099998,60.259998,60.720001,60.266296,4651680
2022-06-15,61.279999,63.689999,60.009998,62.599998,62.132244,4147029
2022-06-16,62.320000,63.500000,61.230000,62.630001,62.162025,3899608
2022-06-17,63.330002,63.330002,61.259998,62.509998,62.042919,9797387
2022-06-20,62.889999,64.489998,62.720001,64.110001,63.630966,1352339
2022-06-21,63.959999,64.900002,61.400002,61.700001,61.238972,4620713
2022-06-22,61.369999,64.040001,60.799999,63.490002,63.015598,1689835
2022-06-23,63.570000,64.269997,62.599998,63.480000,63.005672,1753730
2022-06-24,63.500000,64.949997,62.730000,63.810001,63.333206,1663019
2022-06-27,63.689999,66.349998,63.689999,65.959999,65.467140,2968829
2022-06-28,66.150002,66.739998,65.290001,66.000000,65.506844,2923404
2022-06-29,65.989998,67.120003,64.430000,65.849998,65.357964,2752342
2022-06-30,65.650002,66.690002,63.869999,65.370003,64.881554,5222512
2022-07-01,65.239998,67.370003,65.239998,65.809998,65.318260,1318691
2022-07-04,65.589996,70.809998,65.589996,69.570000,69.050163,923807
2022-07-05,68.760002,68.980003,64.400002,67.180000,66.678024,2644006
2022-07-06,67.440002,70.040001,67.169998,69.910004,69.387627,2181389
2022-07-07,69.910004,71.120003,69.580002,69.680000,69.159348,1742254
2022-07-08,69.419998,71.239998,69.019997,70.599998,70.072472,1511317
2022-07-11,70.570000,72.000000,69.500000,70.760002,70.231277,818860
2022-07-12,70.400002,71.080002,68.059998,68.290001,67.779732,3394042
2022-07-13,68.139999,69.440002,67.580002,69.050003,68.534058,2135222
2022-07-14,69.099998,70.300003,67.699997,70.110001,69.586128,2054269
2022-07-15,70.019997,72.820000,69.540001,72.599998,72.057526,1482412
2022-07-18,72.290001,73.750000,70.550003,71.500000,70.965744,2175099
2022-07-19,71.800003,72.970001,70.980003,72.070000,71.531487,1906655
2022-07-20,71.750000,72.900002,71.610001,72.410004,71.868950,2123454
2022-07-21,72.669998,73.260002,71.309998,73.000000,72.454536,1834434
2022-07-22,73.139999,74.699997,72.220001,74.440002,73.883781,1177170
2022-07-25,74.040001,75.449997,73.360001,74.239998,73.685272,784553
2022-07-26,74.529999,74.699997,72.739998,74.070000,73.516541,1566314
2022-07-27,74.690002,74.690002,71.820000,73.070000,72.524010,1830821
2022-07-28,73.120003,75.370003,72.129997,75.080002,74.518997,1902125
2022-07-29,74.550003,74.849998,71.699997,72.040001,71.501709,3207502
2022-08-01,72.199997,73.199997,68.500000,71.150002,70.618362,2573376
2022-08-02,71.269997,72.879997,71.040001,72.290001,71.749840,1849494
2022-08-03,72.199997,72.669998,70.360001,71.580002,71.045151,1360859
2022-08-04,71.610001,73.000000,69.800003,70.849998,70.320602,1843157
